,Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,decConf,recConf,decConf2,recConf2,index,deathRate,deathRate1,recoveredRate,recoveredRate1,infecRate,infecRate1
90,29 April 2020,2020-04-29,1705,33065,690,8429,71,1079,0.04164222873900293,0.4046920821114369,0.0326326931800998,0.2549221230908816,91,0.04164222873900293,0.0326326931800998,0.4046920821114369,0.2549221230908816,1.235503320520246e-06,2.3960068793549522e-05
91,30 April 2020,2020-04-30,1801,34866,630,9059,75,1154,0.0416435313714603,0.34980566352026654,0.03309814719210692,0.25982332358171284,92,0.0416435313714603,0.03309814719210692,0.34980566352026654,0.25982332358171284,1.305068316866254e-06,2.5265137110415777e-05
92,1 May 2020,2020-05-01,2396,37262,962,10021,77,1231,0.03213689482470785,0.4015025041736227,0.033036337287316836,0.2689334979335516,93,0.03213689482470785,0.033036337287316836,0.4015025041736227,0.2689334979335516,1.7362263671357826e-06,2.700136347755156e-05
93,2 May 2020,2020-05-02,2564,39826,831,10852,92,1323,0.0358814352574103,0.32410296411856476,0.03321950484608045,0.2724853111032994,94,0.0358814352574103,0.03321950484608045,0.32410296411856476,0.2724853111032994,1.8579651107412967e-06,2.8859328588292856e-05
94,3 May 2020,2020-05-03,2952,42778,911,11763,140,1463,0.04742547425474255,0.30860433604336046,0.034199822338585255,0.2749777923231568,95,0.04742547425474255,0.034199822338585255,0.30860433604336046,0.2749777923231568,2.1391236376397454e-06,3.09984522259326e-05
95,4 May 2020,2020-05-04,3656,46434,1082,12845,103,1566,0.028172866520787748,0.2959518599562363,0.03372528750484559,0.2766291941249946,96,0.028172866520787748,0.03372528750484559,0.2959518599562363,0.2766291941249946,2.6492669441771376e-06,3.364771917010974e-05
96,5 May 2020,2020-05-05,2971,49405,1295,14140,128,1694,0.04308313699091215,0.435880175025244,0.03428802752757818,0.2862058496103633,97,0.04308313699091215,0.03428802752757818,0.435880175025244,0.2862058496103633,2.1528917098332264e-06,3.580061087994297e-05
97,6 May 2020,2020-05-06,3602,53007,1161,15301,91,1785,0.02526374236535258,0.3223209328151027,0.033674797668232496,0.28865998830343165,98,0.02526374236535258,0.033674797668232496,0.3223209328151027,0.28865998830343165,2.610136633732508e-06,3.841074751367547e-05
98,7 May 2020,2020-05-07,3344,56351,1475,16776,104,1889,0.03110047846889952,0.4410885167464115,0.0335220315522351,0.2977054533193732,99,0.03110047846889952,0.0335220315522351,0.4410885167464115,0.2977054533193732,2.4231807060526114e-06,4.0833928219728084e-05
99,8 May 2020,2020-05-08,3339,59690,1111,17887,97,1986,0.029050613956274333,0.33273435160227616,0.03327190484168202,0.2996649355000838,100,0.029050613956274333,0.03327190484168202,0.33273435160227616,0.2996649355000838,2.4195575291595904e-06,4.3253485748887674e-05
100,9 May 2020,2020-05-09,3175,62865,1414,19301,115,2101,0.03622047244094488,0.44535433070866143,0.03342082239720035,0.30702298576314324,101,0.03622047244094488,0.03342082239720035,0.44535433070866143,0.30702298576314324,2.3007173270684933e-06,4.555420307595617e-05
101,10 May 2020,2020-05-10,4311,67176,1669,20970,112,2213,0.025980051032243098,0.38714915332869404,0.032943313088007624,0.3121650589496249,102,0.025980051032243098,0.032943313088007624,0.38714915332869404,0.3121650589496249,3.1239031171629213e-06,4.867810619311909e-05
102,11 May 2020,2020-05-11,3592,70768,1579,22549,81,2294,0.02255011135857461,0.4395879732739421,0.0324157811440199,0.31863271535157134,103,0.02255011135857461,0.0324157811440199,0.4395879732739421,0.31863271535157134,2.6028902799464654e-06,5.128099647306556e-05
103,12 May 2020,2020-05-12,3562,74330,1905,24454,120,2414,0.033688938798427846,0.5348119034250421,0.03247679268128616,0.3289923314946859,104,0.033688938798427846,0.03247679268128616,0.5348119034250421,0.3289923314946859,2.581151218588338e-06,5.386214769165389e-05
104,13 May 2020,2020-05-13,3726,78056,1963,26417,137,2551,0.03676865271068169,0.5268384326355341,0.03268166444603874,0.3384365071230911,105,0.03676865271068169,0.03268166444603874,0.5268384326355341,0.3384365071230911,2.699991420679435e-06,5.6562139112333325e-05
105,14 May 2020,2020-05-14,3991,82047,1594,28011,97,2648,0.024304685542470558,0.3993986469556502,0.03227418430899363,0.34140187941058175,106,0.024304685542470558,0.03227418430899363,0.3993986469556502,0.34140187941058175,2.892019796009561e-06,5.945415890834289e-05
106,15 May 2020,2020-05-15,3808,85855,2234,30245,104,2752,0.0273109243697479,0.5866596638655462,0.03205404461009842,0.3522800069885272,107,0.0273109243697479,0.03205404461009842,0.5866596638655462,0.3522800069885272,2.7594115217249835e-06,6.221357043006787e-05
107,16 May 2020,2020-05-16,4794,90649,4012,34257,120,2872,0.025031289111389236,0.8368794326241135,0.03168264404461164,0.37790819534688747,108,0.025031289111389236,0.03168264404461164,0.8368794326241135,0.37790819534688747,3.473902005028774e-06,6.568747243509664e-05
108,17 May 2020,2020-05-17,5049,95698,2538,36795,152,3024,0.03010497128144187,0.5026737967914439,0.03159940646617484,0.38449079395598657,109,0.03010497128144187,0.03159940646617484,0.5026737967914439,0.38449079395598657,3.6586840265728578e-06,6.93461564616695e-05
109,18 May 2020,2020-05-18,4628,100326,2482,39277,131,3155,0.028305963699222125,0.5363007778738116,0.03144748121125132,0.3914937304387696,110,0.028305963699222125,0.03144748121125132,0.5363007778738116,0.3914937304387696,3.3536125321804685e-06,7.269976899384998e-05
110,19 May 2020,2020-05-19,6154,106480,3032,42309,146,3301,0.023724406889827753,0.4926876828079298,0.03100112697220135,0.3973422238918107,111,0.023724406889827753,0.03100112697220135,0.4926876828079298,0.3973422238918107,4.459406119930554e-06,7.715917511378053e-05
111,20 May 2020,2020-05-20,5720,112200,3113,45422,134,3435,0.023426573426573425,0.5442307692307692,0.030614973262032087,0.4048306595365419,112,0.023426573426573425,0.030614973262032087,0.5442307692307692,0.4048306595365419,4.144914365616309e-06,8.130408947939684e-05
112,21 May 2020,2020-05-21,6023,118223,3131,48553,148,3583,0.02457247218993857,0.5198406109912004,0.03030713143804505,0.410689967265253,113,0.02457247218993857,0.03030713143804505,0.5198406109912004,0.410689967265253,4.364478885333397e-06,8.566856836473023e-05
113,22 May 2020,2020-05-22,6536,124759,3280,51833,142,3725,0.021725826193390453,0.5018359853121175,0.029857565386064332,0.4154650165519121,114,0.021725826193390453,0.029857565386064332,0.5018359853121175,0.4154650165519121,4.736216834557377e-06,9.040478519928761e-05
114,23 May 2020,2020-05-23,6667,131424,2576,54409,142,3867,0.02129893505324734,0.3863806809659517,0.029423849525200878,0.41399592159727294,115,0.02129893505324734,0.029423849525200878,0.3863806809659517,0.41399592159727294,4.831144069154534e-06,9.523447999768494e-05
115,24 May 2020,2020-05-24,7111,138537,3285,57694,156,4023,0.021937842778793418,0.46196034313036144,0.029039173650360555,0.4164519225910768,116,0.021937842778793418,0.029039173650360555,0.46196034313036144,0.4164519225910768,5.152882177254821e-06,0.00010038881144569696
116,25 May 2020,2020-05-25,6414,144951,3012,60706,150,4173,0.023386342376052385,0.4695977549111319,0.028789039054577064,0.4188035956978565,117,0.023386342376052385,0.028789039054577064,0.4695977549111319,0.4188035956978565,4.6478113183676584e-06,0.00010503662276406462
117,26 May 2020,2020-05-26,5907,150858,3585,64291,173,4346,0.029287286270526493,0.6069070594210259,0.028808548436277823,0.42616898010049187,118,0.029287286270526493,0.028808548436277823,0.6069070594210259,0.42616898010049187,4.280421181415304e-06,0.00010931704394547993
118,27 May 2020,2020-05-27,7246,158104,3434,67725,188,4534,0.025945349158156224,0.4739166436654706,0.02867732631685473,0.4283572838131863,119,0.025945349158156224,0.02867732631685473,0.4739166436654706,0.4283572838131863,5.250707953366394e-06,0.00011456775189884632
119,28 May 2020,2020-05-28,7254,165358,3171,70896,176,4710,0.0242624758753791,0.4371381306865178,0.02848365364844761,0.4287424860000726,120,0.0242624758753791,0.02848365364844761,0.4371381306865178,0.4287424860000726,5.256505036395229e-06,0.00011982425693524155
120,29 May 2020,2020-05-29,8138,173496,11735,82631,269,4979,0.033054804620299826,1.4420004915212583,0.02869806796698483,0.4762703462904044,121,0.033054804620299826,0.02869806796698483,1.4420004915212583,0.4762703462904044,5.897082711081386e-06,0.00012572133964632295
121,30 May 2020,2020-05-30,8364,181860,4303,86934,205,5184,0.024509803921568627,0.514466762314682,0.028505443747937974,0.47802705377763116,122,0.024509803921568627,0.028505443747937974,0.514466762314682,0.47802705377763116,6.060850306645946e-06,0.00013178218995296887
122,31 May 2020,2020-05-31,8789,190649,4928,91862,222,5406,0.025258846285129137,0.5607008760951189,0.028355774223835426,0.48183835215500737,123,0.025258846285129137,0.028355774223835426,0.5607008760951189,0.48183835215500737,6.368820342552752e-06,0.00013815101029552164
123,1 June 2020,2020-06-01,7723,198372,3882,95744,201,5607,0.02602615563900039,0.5026544089084553,0.02826507773274454,0.4826487609138386,124,0.02602615563900039,0.02826507773274454,0.5026544089084553,0.4826487609138386,5.596359028960622e-06,0.00014374736932448224
124,2 June 2020,2020-06-02,8812,207187,4531,100275,222,5829,0.025192918747162958,0.5141852019972765,0.028134004546617308,0.48398306843576094,125,0.025192918747162958,0.028134004546617308,0.5141852019972765,0.48398306843576094,6.38548695626065e-06,0.0001501350301868787
125,3 June 2020,2020-06-03,9689,216876,3789,104064,259,6088,0.026731344824027246,0.3910620291051708,0.028071340305059114,0.47983179328279757,126,0.026731344824027246,0.028071340305059114,0.3910620291051708,0.47983179328279757,7.020992183296577e-06,0.0001571560223701753
126,4 June 2020,2020-06-04,9847,226723,4390,108454,274,6362,0.027825733726007922,0.44582106225246265,0.02806067315623029,0.47835464421342344,127,0.027825733726007922,0.02806067315623029,0.44582106225246265,0.47835464421342344,7.135484573116048e-06,0.00016429150694329133
127,5 June 2020,2020-06-05,9472,236195,4770,113224,286,6648,0.030194256756756757,0.503589527027027,0.02814623510235187,0.47936662503439953,128,0.030194256756756757,0.02814623510235187,0.503589527027027,0.47936662503439953,6.863746306139455e-06,0.0001711552532494308
128,6 June 2020,2020-06-06,10408,246603,5433,118657,297,6945,0.028535741737125288,0.5220023059185243,0.02816267442001922,0.481166084759715,129,0.028535741737125288,0.02816267442001922,0.5220023059185243,0.481166084759715,7.5420050205130326e-06,0.00017869725826994383
129,7 June 2020,2020-06-07,10882,257485,5191,123848,261,7206,0.02398456166145929,0.47702628193346813,0.027986096277453056,0.48099112569664254,130,0.02398456166145929,0.027986096277453056,0.47702628193346813,0.48099112569664254,7.885482189971447e-06,0.00018658274045991528
130,8 June 2020,2020-06-08,8536,266021,5171,129019,271,7477,0.03174789128397376,0.6057872539831303,0.02810680359821217,0.48499554546445584,131,0.03174789128397376,0.02810680359821217,0.6057872539831303,0.48499554546445584,6.185487591765877e-06,0.00019276822805168114
131,9 June 2020,2020-06-09,9981,276002,5634,134653,272,7749,0.02725177837891995,0.5644724977457168,0.02807588350809052,0.48786965311845565,132,0.02725177837891995,0.02807588350809052,0.5644724977457168,0.48786965311845565,7.232585713849018e-06,0.00020000081376553018
132,10 June 2020,2020-06-10,11156,287158,6275,140928,358,8107,0.03209035496593761,0.5624775905342416,0.028231844489793077,0.4907681485454001,133,0.03209035496593761,0.028231844489793077,0.5624775905342416,0.4907681485454001,8.084032283709012e-06,0.0002080848460492392
133,11 June 2020,2020-06-11,11135,298293,6044,146972,394,8501,0.03538392456219129,0.5427929950606196,0.028498824980807462,0.49271018763430585,134,0.03538392456219129,0.028498824980807462,0.5427929950606196,0.49271018763430585,8.068814940758322e-06,0.0002161536609899975
134,12 June 2020,2020-06-12,11306,309599,7263,154235,388,8889,0.03431806120643906,0.6424022642844507,0.028711333046941366,0.4981766736972665,135,0.03431806120643906,0.028711333046941366,0.6424022642844507,0.4981766736972665,8.192727590499648e-06,0.00022434638858049715
135,13 June 2020,2020-06-13,12039,321638,8092,162327,309,9198,0.02566658360328931,0.6721488495722237,0.028597367226509306,0.5046885007368532,136,0.02566658360328931,0.028597367226509306,0.6721488495722237,0.5046885007368532,8.723885323016564e-06,0.0002330702739035137
136,14 June 2020,2020-06-14,11405,333043,7358,169685,324,9522,0.028408592722490137,0.6451556334940816,0.028590902676230996,0.509498773431659,137,0.028408592722490137,0.028590902676230996,0.6451556334940816,0.509498773431659,8.26446649298147e-06,0.0002413347403964952
137,15 June 2020,2020-06-15,10032,343075,10639,180324,396,9918,0.039473684210526314,1.060506379585327,0.028909130656561977,0.5256110179989798,138,0.039473684210526314,0.028909130656561977,1.060506379585327,0.5256110179989798,7.2695421181578346e-06,0.00024860428251465304
138,16 June 2020,2020-06-16,11086,354161,7226,187550,2004,11922,0.18076853689337904,0.6518130976005773,0.03366265624955882,0.5295614141590972,139,0.18076853689337904,0.03366265624955882,0.6518130976005773,0.5295614141590972,8.033307807206714e-06,0.00025663759032185974
139,17 June 2020,2020-06-17,13108,367269,6890,194440,341,12263,0.026014647543484894,0.5256332010985658,0.033389695291462115,0.5294212144232157,140,0.026014647543484894,0.033389695291462115,0.5256332010985658,0.5294212144232157,9.498520542744508e-06,0.00026613611086460427
140,18 June 2020,2020-06-18,13829,381098,10741,205181,343,12606,0.02480295032178755,0.7767011352953938,0.03307810589402201,0.5383943237697391,141,0.02480295032178755,0.03307810589402201,0.7767011352953938,0.5383943237697391,1.0020982650718171e-05,0.0002761570935153224
141,19 June 2020,2020-06-19,14740,395838,9029,214210,364,12970,0.02469470827679783,0.612550881953867,0.03276592949641015,0.5411557253219752,142,0.02469470827679783,0.03276592949641015,0.612550881953867,0.5411557253219752,1.0681125480626644e-05,0.00028683821899594907
142,20 June 2020,2020-06-20,15918,411753,13974,228184,308,13278,0.019349164467897976,0.8778741047870335,0.03224748817859251,0.5541768973146523,143,0.019349164467897976,0.03224748817859251,0.8778741047870335,0.5541768973146523,1.1534745956622449e-05,0.0002983707910464357
143,21 June 2020,2020-06-21,15151,426904,9075,237259,426,13704,0.0281169559765032,0.5989703649924097,0.032100893877780486,0.5557666360586924,144,0.0281169559765032,0.032100893877780486,0.5989703649924097,0.5557666360586924,1.097895062123299e-05,0.0003093497416676687
